,date,home_team,score,away_team
410,15-10-2022,Torpedo Moskva,0 - 1,Lokomotiv M
411,23-10-2022,Terek Grozny,1 - 0,Torpedo Moskva
412,30-10-2022,Spartak M,1 - 0,Torpedo Moskva
413,06-11-2022,Torpedo Moskva,0 - 2,Krylya Samara
414,12-11-2022,Torpedo Moskva,0 - 2,Zenit St Petersburg
415,05-03-2023,Krasnodar,2 - 2,Torpedo Moskva
416,11-03-2023,Torpedo Moskva,0 - 1,Ural
417,19-03-2023,Nizhny Novgorod,1 - 1,Torpedo Moskva
418,02-04-2023,Rostov,2 - 1,Torpedo Moskva
419,08-04-2023,Torpedo Moskva,2 - 0,Fakel Voronezh
420,15-04-2023,Torpedo Moskva,1 - 2,Spartak M
421,22-04-2023,FC Khimki,4 - 2,Torpedo Moskva
422,30-04-2023,FK SOCHI,3 - 1,Torpedo Moskva
423,06-05-2023,Torpedo Moskva,1 - 5,Terek Grozny
424,13-05-2023,CSKA Moscow,3 - 0,Torpedo Moskva
425,20-05-2023,Torpedo Moskva,0 - 3,Dinamo Moscow
426,27-05-2023,Torpedo Moskva,1 - 3,Gazovik Orenburg
427,03-06-2023,Lokomotiv M,3 - 1,Torpedo Moskva
428,16-07-2022,CSKA Moscow,2 - 0,Ural
429,23-07-2022,Gazovik Orenburg,3 - 0,Ural
430,29-07-2022,Ural,1 - 3,Krasnodar
431,06-08-2022,Ural,0 - 2,Spartak M
432,12-08-2022,Fakel Voronezh,0 - 0,Ural
433,20-08-2022,Ural,0 - 1,Nizhny Novgorod
434,28-08-2022,Ural,0 - 4,Zenit St Petersburg
435,03-09-2022,Dinamo Moscow,2 - 1,Ural
436,11-09-2022,Ural,2 - 0,Torpedo Moskva
