,date,home_team,score,away_team
402,19-02-2023,Man United,3 - 0,Leicester
403,25-02-2023,Leicester,0 - 1,Arsenal
404,04-03-2023,Southampton,1 - 0,Leicester
405,11-03-2023,Leicester,1 - 3,Chelsea
406,18-03-2023,Brentford,1 - 1,Leicester
407,01-04-2023,Crystal Palace,2 - 1,Leicester
408,04-04-2023,Leicester,1 - 2,Aston Villa
409,08-04-2023,Leicester,0 - 1,Bournemouth
410,15-04-2023,Man City,3 - 1,Leicester
411,22-04-2023,Leicester,2 - 1,Wolves
412,25-04-2023,Leeds,1 - 1,Leicester
413,01-05-2023,Leicester,2 - 2,Everton
414,08-05-2023,Fulham,5 - 3,Leicester
415,15-05-2023,Leicester,0 - 3,Liverpool
416,22-05-2023,Newcastle,0 - 0,Leicester
417,28-05-2023,Leicester,2 - 1,West Ham
418,06-08-2022,Fulham,2 - 2,Liverpool
419,15-08-2022,Liverpool,1 - 1,Crystal Palace
420,22-08-2022,Man United,2 - 1,Liverpool
421,27-08-2022,Liverpool,9 - 0,Bournemouth
422,31-08-2022,Liverpool,2 - 1,Newcastle
423,03-09-2022,Everton,0 - 0,Liverpool
424,01-10-2022,Liverpool,3 - 3,Brighton
425,09-10-2022,Arsenal,3 - 2,Liverpool
426,16-10-2022,Liverpool,1 - 0,Man City
427,19-10-2022,Liverpool,1 - 0,West Ham
428,22-10-2022,Nott'm Forest,1 - 0,Liverpool
429,29-10-2022,Liverpool,1 - 2,Leeds
430,06-11-2022,Tottenham,1 - 2,Liverpool
431,12-11-2022,Liverpool,3 - 1,Southampton
432,26-12-2022,Aston Villa,1 - 3,Liverpool
433,30-12-2022,Liverpool,2 - 1,Leicester
434,02-01-2023,Brentford,3 - 1,Liverpool
435,14-01-2023,Brighton,3 - 0,Liverpool
436,21-01-2023,Liverpool,0 - 0,Chelsea
437,04-02-2023,Wolves,3 - 0,Liverpool
438,13-02-2023,Liverpool,2 - 0,Everton
439,18-02-2023,Newcastle,0 - 2,Liverpool
440,25-02-2023,Crystal Palace,0 - 0,Liverpool
441,01-03-2023,Liverpool,2 - 0,Wolves
442,05-03-2023,Liverpool,7 - 0,Man United
443,11-03-2023,Bournemouth,1 - 0,Liverpool
444,01-04-2023,Man City,4 - 1,Liverpool
445,04-04-2023,Chelsea,0 - 0,Liverpool
446,09-04-2023,Liverpool,2 - 2,Arsenal
447,17-04-2023,Leeds,1 - 6,Liverpool
448,22-04-2023,Liverpool,3 - 2,Nott'm Forest
449,26-04-2023,West Ham,1 - 2,Liverpool
450,30-04-2023,Liverpool,4 - 3,Tottenham
451,03-05-2023,Liverpool,1 - 0,Fulham
452,06-05-2023,Liverpool,1 - 0,Brentford
453,15-05-2023,Leicester,0 - 3,Liverpool
454,20-05-2023,Liverpool,1 - 1,Aston Villa
455,28-05-2023,Southampton,4 - 4,Liverpool
456,07-08-2022,West Ham,0 - 2,Man City
457,13-08-2022,Man City,4 - 0,Bournemouth
458,21-08-2022,Newcastle,3 - 3,Man City
459,27-08-2022,Man City,4 - 2,Crystal Palace
460,31-08-2022,Man City,6 - 0,Nott'm Forest
461,03-09-2022,Aston Villa,1 - 1,Man City
462,17-09-2022,Wolves,0 - 3,Man City
463,02-10-2022,Man City,6 - 3,Man United
464,08-10-2022,Man City,4 - 0,Southampton
465,16-10-2022,Liverpool,1 - 0,Man City
466,22-10-2022,Man City,3 - 1,Brighton
467,29-10-2022,Leicester,0 - 1,Man City
468,05-11-2022,Man City,2 - 1,Fulham
469,12-11-2022,Man City,1 - 2,Brentford
470,28-12-2022,Leeds,1 - 3,Man City
471,31-12-2022,Man City,1 - 1,Everton
472,05-01-2023,Chelsea,0 - 1,Man City
473,14-01-2023,Man United,2 - 1,Man City
474,19-01-2023,Man City,4 - 2,Tottenham
475,22-01-2023,Man City,3 - 0,Wolves
476,05-02-2023,Tottenham,1 - 0,Man City
477,12-02-2023,Man City,3 - 1,Aston Villa
478,15-02-2023,Arsenal,1 - 3,Man City
479,18-02-2023,Nott'm Forest,1 - 1,Man City
480,25-02-2023,Bournemouth,1 - 4,Man City
481,04-03-2023,Man City,2 - 0,Newcastle
482,11-03-2023,Crystal Palace,0 - 1,Man City
483,01-04-2023,Man City,4 - 1,Liverpool
484,08-04-2023,Southampton,1 - 4,Man City
485,15-04-2023,Man City,3 - 1,Leicester
486,26-04-2023,Man City,4 - 1,Arsenal
487,30-04-2023,Fulham,1 - 2,Man City
488,03-05-2023,Man City,3 - 0,West Ham
489,06-05-2023,Man City,2 - 1,Leeds
490,14-05-2023,Everton,0 - 3,Man City
491,21-05-2023,Man City,1 - 0,Chelsea
492,24-05-2023,Brighton,1 - 1,Man City
493,28-05-2023,Brentford,1 - 0,Man City
494,07-08-2022,Man United,1 - 2,Brighton
495,13-08-2022,Brentford,4 - 0,Man United
496,22-08-2022,Man United,2 - 1,Liverpool
497,27-08-2022,Southampton,0 - 1,Man United
498,01-09-2022,Leicester,0 - 1,Man United
499,04-09-2022,Man United,3 - 1,Arsenal
500,02-10-2022,Man City,6 - 3,Man United
501,09-10-2022,Everton,1 - 2,Man United
502,16-10-2022,Man United,0 - 0,Newcastle
503,19-10-2022,Man United,2 - 0,Tottenham
504,22-10-2022,Chelsea,1 - 1,Man United
505,30-10-2022,Man United,1 - 0,West Ham
506,06-11-2022,Aston Villa,3 - 1,Man United
507,13-11-2022,Fulham,1 - 2,Man United
508,27-12-2022,Man United,3 - 0,Nott'm Forest
509,31-12-2022,Wolves,0 - 1,Man United
510,03-01-2023,Man United,3 - 0,Bournemouth
511,14-01-2023,Man United,2 - 1,Man City
512,18-01-2023,Crystal Palace,1 - 1,Man United
513,22-01-2023,Arsenal,3 - 2,Man United
514,04-02-2023,Man United,2 - 1,Crystal Palace
515,08-02-2023,Man United,2 - 2,Leeds
516,12-02-2023,Leeds,0 - 2,Man United
517,19-02-2023,Man United,3 - 0,Leicester
518,05-03-2023,Liverpool,7 - 0,Man United
519,12-03-2023,Man United,0 - 0,Southampton
520,02-04-2023,Newcastle,2 - 0,Man United
521,05-04-2023,Man United,1 - 0,Brentford
522,08-04-2023,Man United,2 - 0,Everton
523,16-04-2023,Nott'm Forest,0 - 2,Man United
524,27-04-2023,Tottenham,2 - 2,Man United
525,30-04-2023,Man United,1 - 0,Aston Villa
526,04-05-2023,Brighton,1 - 0,Man United
527,07-05-2023,West Ham,1 - 0,Man United
528,13-05-2023,Man United,2 - 0,Wolves
529,20-05-2023,Bournemouth,0 - 1,Man United
530,25-05-2023,Man United,4 - 1,Chelsea
531,28-05-2023,Man United,2 - 1,Fulham
